model_id,feature_set,task,split,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_accuracy_mean,above_majority_mean,selected_layer_mean,selected_layers
llama-3.1-8b,target_final_subtoken,number,lemma-heldout,5,0.9780823873292095,0.009310550807998263,0.8975539944379104,0.08327482229929876,0.8414610382253642,0.1366213491038452,10.4,"4,7,13,14,14"
llama-3.1-8b,target_final_subtoken,number,random,5,0.991487775587429,0.002932202645466917,0.9547463820693773,0.02169779344176314,0.8414556001178257,0.1500321754696033,12.0,"6,8,13,16,17"
llama-3.1-8b,target_final_subtoken,number,root-heldout,5,0.9746783585978747,0.018219154130968276,0.882839442123285,0.06706921051097536,0.8414483493077742,0.13323000929010037,11.8,"7,7,7,8,30"
llama-3.1-8b,target_final_subtoken,pos,lemma-heldout,5,0.8438729735229611,0.026815643765397405,0.8209239818111836,0.030496393973818484,0.6290024193366042,0.21487055418635678,15.4,"6,8,11,22,30"
llama-3.1-8b,target_final_subtoken,pos,random,5,0.9489504149049223,0.013935724243746589,0.9404190189264648,0.01711599012302926,0.6290150812851877,0.3199353336197346,9.4,"3,6,10,11,17"
llama-3.1-8b,target_final_subtoken,pos,root-heldout,5,0.8487564157641259,0.00926986002702145,0.8201025621482557,0.018296235105904855,0.6290290998711194,0.21972731589300656,14.0,"6,9,11,16,28"
llama-3.1-8b,target_mean_span,gender,lemma-heldout,5,0.9104021933700406,0.01348115406862352,0.9034421615047787,0.009691649398697941,0.6260711938911925,0.284330999478848,29.4,"27,27,31,31,31"
llama-3.1-8b,target_mean_span,gender,random,5,0.9653107651870482,0.005330795631873269,0.9630533277122438,0.005664470262194296,0.6260906804432058,0.3392200847438424,26.0,"19,21,29,30,31"
llama-3.1-8b,target_mean_span,gender,root-heldout,5,0.900829537987447,0.0030527431572267426,0.8921259195483808,0.0059071538025778116,0.6260895475041353,0.27473999048331177,24.2,"16,20,23,31,31"
llama-3.1-8b,target_mean_span,number,lemma-heldout,5,0.9689295991661568,0.011485306706465817,0.8893202942416026,0.05723506511199523,0.8414610382253642,0.12746856094079262,16.0,"6,13,16,18,27"
