model_id,feature_set,task,split,fold,label_mode,layer,dev_accuracy,dev_macro_f1
allam-7b,full_prompt_final,gender,random,1,real,17,0.973404255319149,0.9716312056737588
allam-7b,full_prompt_final,gender,random,1,real,18,0.9800531914893617,0.9786776756398115
allam-7b,full_prompt_final,gender,random,1,real,19,0.9787234042553191,0.9773369397334378
allam-7b,full_prompt_final,gender,random,1,real,20,0.9800531914893617,0.9787384432695299
allam-7b,full_prompt_final,gender,random,1,real,21,0.9787234042553191,0.9773049645390071
allam-7b,full_prompt_final,gender,random,1,real,22,0.9720744680851063,0.9701915690008929
allam-7b,full_prompt_final,gender,random,1,real,23,0.976063829787234,0.9744680851063829
allam-7b,full_prompt_final,gender,random,1,real,24,0.9707446808510638,0.9688816660647647
allam-7b,full_prompt_final,gender,random,1,real,25,0.9787234042553191,0.9773369397334378
allam-7b,full_prompt_final,gender,random,1,real,26,0.9840425531914894,0.9829544166647777
allam-7b,full_prompt_final,gender,random,1,real,27,0.973404255319149,0.9715080285222821
allam-7b,full_prompt_final,gender,random,1,real,28,0.9707446808510638,0.9687046004842614
allam-7b,full_prompt_final,gender,random,1,real,29,0.9574468085106383,0.9546099290780141
allam-7b,full_prompt_final,gender,random,1,real,30,0.964095744680851,0.9617827920922905
allam-7b,full_prompt_final,gender,random,1,real,31,0.9601063829787234,0.9572620427834231
allam-7b,full_prompt_final,gender,random,2,real,0,0.9773936170212766,0.975834699058453
allam-7b,full_prompt_final,gender,random,2,real,1,0.9773936170212766,0.975834699058453
allam-7b,full_prompt_final,gender,random,2,real,2,0.973404255319149,0.9716312056737588
allam-7b,full_prompt_final,gender,random,2,real,3,0.9787234042553191,0.9773369397334378
allam-7b,full_prompt_final,gender,random,2,real,4,0.9853723404255319,0.9844081917309886
allam-7b,full_prompt_final,gender,random,2,real,5,0.9787234042553191,0.9772397094430993
allam-7b,full_prompt_final,gender,random,2,real,6,0.9853723404255319,0.9844081917309886
allam-7b,full_prompt_final,gender,random,2,real,7,0.9813829787234043,0.9801418439716312
allam-7b,full_prompt_final,gender,random,2,real,8,0.9800531914893617,0.9787082635720663
allam-7b,full_prompt_final,gender,random,2,real,9,0.9827127659574468,0.9815206522211699
allam-7b,full_prompt_final,gender,random,2,real,10,0.9813829787234043,0.9801698222667581
allam-7b,full_prompt_final,gender,random,2,real,11,0.9773936170212766,0.9758693653816752
allam-7b,full_prompt_final,gender,random,2,real,12,0.976063829787234,0.9744680851063829
allam-7b,full_prompt_final,gender,random,2,real,13,0.9800531914893617,0.9787384432695299
allam-7b,full_prompt_final,gender,random,2,real,14,0.9800531914893617,0.9787082635720663
allam-7b,full_prompt_final,gender,random,2,real,15,0.9707446808510638,0.9689244524587701
allam-7b,full_prompt_final,gender,random,2,real,16,0.9787234042553191,0.9774302950268615
allam-7b,full_prompt_final,gender,random,2,real,17,0.9707446808510638,0.9688382921334769
allam-7b,full_prompt_final,gender,random,2,real,18,0.9694148936170213,0.9674446006712104
allam-7b,full_prompt_final,gender,random,2,real,19,0.976063829787234,0.9744680851063829
allam-7b,full_prompt_final,gender,random,2,real,20,0.9720744680851063,0.9701915690008929
allam-7b,full_prompt_final,gender,random,2,real,21,0.9707446808510638,0.9687497638854259
allam-7b,full_prompt_final,gender,random,2,real,22,0.9694148936170213,0.9674446006712104
allam-7b,full_prompt_final,gender,random,2,real,23,0.9694148936170213,0.9673526708105017
allam-7b,full_prompt_final,gender,random,2,real,24,0.976063829787234,0.9744316249971666
allam-7b,full_prompt_final,gender,random,2,real,25,0.973404255319149,0.9715906944412962
allam-7b,full_prompt_final,gender,random,2,real,26,0.9747340425531915,0.9729917224770945
allam-7b,full_prompt_final,gender,random,2,real,27,0.9694148936170213,0.9673057693143776
allam-7b,full_prompt_final,gender,random,2,real,28,0.9667553191489362,0.9643057177303753
allam-7b,full_prompt_final,gender,random,2,real,29,0.9667553191489362,0.9646136963817504
